Score,ISS100,ISS102,ISS103,ISS104,ISS105,ISS106,ISS107,ISS109,ISS111,ISS112,ISS115,ISS116,ISS118,ISS121,ISS113,ISS250,ISS800,ISS803,ISS202,ISS251,ISS252,ISS253,ISS254,ISS201,ISS414,ISS411,ISS420,ISS200,ISS400,ISS402,ISS403,ISS404,ISS405,ISS406,ISS408,ISS500,ISS501,ISS502,ISS503,ISS504,ISS505,ISS506,ISS507,ISS510,ISS401,ISS600,ISS601,ISS602,ISS603,ISS604,ISS702,ISS900,ISS901,ISS902,ISS903,ISS904,ISS905,ISS906,ISS701,ISS703,ISS700,ISS300,ISS301,ISS302,ISS303,ISS304,ISS305,ISS306,ISS307,ISS308,ISS309
10,16,10,13,2,3,8,4,10,5,8,20,3,4,10,8,17,29,15,11,17,29,12,3,21,11,12,11,11,12,5,14,5,8,12,4,28,28,35,32,22,7,5,5,6,49,44,44,27,26,34,4,32,32,28,19,23,16,10,44,31,21,25,16,15,14,5,30,25,13,11,21
9,13,7,10,6,8,6,2,3,2,6,7,5,5,7,9,4,20,10,8,10,20,10,1,15,13,4,4,8,3,4,7,1,6,2,7,18,15,26,25,17,5,1,3,3,21,24,22,13,24,20,1,11,13,16,13,14,8,9,27,18,11,24,16,15,10,7,10,16,9,10,10
8,9,18,16,12,11,6,5,5,8,9,11,10,8,9,16,16,17,10,11,13,17,7,8,16,14,17,21,18,13,5,8,7,9,8,15,23,25,22,23,30,15,5,4,11,15,11,15,18,20,21,10,14,25,18,23,20,19,17,16,26,19,14,12,16,12,5,14,22,15,12,16
7,23,20,23,14,9,12,4,9,12,11,16,14,16,18,8,18,18,12,19,11,15,12,9,16,18,17,15,12,13,9,17,7,11,16,9,12,15,10,14,16,9,11,15,10,12,10,8,17,13,12,2,16,16,14,21,21,23,23,12,15,15,22,16,12,11,4,16,20,14,18,17
6,16,25,31,19,26,11,12,13,12,17,19,20,17,20,20,19,14,17,9,24,14,16,11,22,24,25,24,24,21,10,24,10,13,17,13,17,16,12,13,13,21,10,17,18,11,14,11,18,15,19,10,21,16,18,19,22,17,30,8,17,23,14,20,22,21,8,18,17,24,24,22
5,22,12,6,19,19,13,19,16,26,18,18,25,23,20,23,15,9,15,23,17,9,12,11,12,15,19,20,12,23,22,18,18,31,24,9,11,9,9,5,12,20,18,16,23,7,5,8,11,9,4,19,13,10,9,12,6,18,11,4,7,9,9,12,16,21,19,10,6,14,19,18
4,12,13,14,21,24,19,17,18,28,20,13,17,21,20,15,9,7,21,15,8,8,21,23,10,12,13,11,18,18,24,18,24,17,16,15,7,7,1,3,6,19,23,19,16,1,3,5,4,5,5,29,9,3,7,5,6,6,11,4,2,8,4,12,10,15,26,8,5,13,14,6
3,5,8,4,13,11,23,18,20,11,13,7,9,9,7,8,16,4,10,10,10,4,15,15,4,6,6,6,6,8,11,5,15,9,5,9,2,2,2,1,2,12,11,13,18,1,1,1,4,2,2,19,2,1,3,6,4,9,4,2,1,7,5,9,7,8,7,5,2,8,4,8
2,3,6,2,13,8,21,38,25,14,16,7,15,14,7,11,5,1,9,13,9,3,13,38,2,5,5,6,9,6,28,7,31,13,18,38,1,2,2,3,1,11,34,27,13,2,7,5,7,5,2,25,1,3,6,1,3,3,4,0,0,3,1,5,4,6,37,7,5,8,6,0
NA,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,2,1,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,1,2,1,1,1,1,1,1,1
